	Item	FECHA INGRESO  INVENTARIO 	Nombre 	Peso  (ct) 	Color 	Calidad 	Cant.	Talla 	Medidas	Medidas	Imagen	 costo  T.madre 	 Precio COP	UBICACION 	ASESOR	ESTADO 	CAJA 
	46	20-nov-2025	L:A Amor Platonico	2.63	Verde Vivido	Comercial  SuperFina 	1	Cushion	largo Ancho	8,0 8.9		$4,305,000	$9,566,667	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	47	20-nov-2025	L:A Corazon  Tierra Madre  	1.85	Verde Muzo	Fina 	1	Corazon	largo Ancho	7,3 8.7 5.6		$27,600,000	$27,600,000	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	49	23-nov-2025	L:II-JA Rapunzel	Plata	Verde Limón 	Comercial  Fina	1	7	largo Ancho	Anillo		$170,000	$377,778	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	50	23-nov-2025	L:II-JA Blanca Nieves	Plata	Verde Menta	Comercial  Estandar 	1	9	largo Ancho	Anillo		$170,000	$340,000	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	51	23-nov-2025	L:II-JA Rapunzel S.F.	Plata	Verde Menta	Comercial  Fina 	1	6	largo Ancho	Anillo		$170,000	$377,778	ASESOR	J.M.Escobar	VENDIDA 	Pte legalizar  50%
	52	23-nov-2025	L:II-JA Pocahontas 	Plata	Verde Menta	Comercial  Superior	1	9	largo Ancho	Anillo		$170,000	$340,000	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	53	23-nov-2025	L:II-JA Aurora	Plata	Verde Menta	Comercial  Fina 	1	6	largo Ancho	Anillo		$170,000	$377,778	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	55	23-nov-2025	L:II-JA Daenerys	Plata	Verde Limón 	Comercial  Fina 	1	7	largo Ancho	Anillo		$170,000	$425,000	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	56	23-nov-2025	L:II-JA Anna	Plata	Verde Natural	Comercial  SuperFina 	1	9	largo Ancho	Anillo		$280,000	$560,000	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	61	23-nov-2025	L:II-JA Princesa Azul	Plata	Verde Menta	Comercial  Superior 	1	7	largo Ancho	Anillo	Vendido  en primicia	$170,000	$299,296	 BOVEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
